tau_ell,seed,flat_twin,n_realized,rho_hat,pool_size,rejections,complete,y,median_relerr,mean_m,sd_m,stage,code_version
1.5,21194400.0,True,1752.0,8.588235294117647,16960.0,32.0,True,-0.8267244120647852,0.14903064735595195,81.83333333333333,17.24432273725665,A13-twin,33e371f
1.5,21194600.0,True,1712.0,8.392156862745098,15800.0,9.0,True,-0.8081721056907067,0.15553491432617503,80.83333333333333,14.972196454317139,A13-twin,33e371f
1.5,21194800.0,True,1769.0,8.67156862745098,16108.0,5.0,True,-0.6202142410012501,0.23976498470576496,76.16666666666667,5.49241901776136,A13-twin,33e371f
1.5,21195000.0,True,1751.0,8.583333333333334,15364.0,19.0,True,-0.9238600245613322,0.1191626013589988,72.5,18.555322686496186,A13-twin,33e371f
1.5,21195200.0,True,1674.0,8.205882352941176,15423.0,18.0,True,-0.614143636399947,0.24313997270092697,72.16666666666667,12.765839833973581,A13-twin,33e371f
1.5,21195400.0,True,1797.0,8.808823529411764,16343.0,14.0,True,-0.7204666374760557,0.19034144523541346,81.16666666666667,11.409060726749889,A13-twin,33e371f
1.5,21195600.0,True,1792.0,8.784313725490197,16261.0,3.0,True,-0.7689200211700655,0.1702472003471765,74.83333333333333,13.04479461956633,A13-twin,33e371f
1.5,21195800.0,True,1768.0,8.666666666666666,18739.0,5.0,True,-0.6409271794580448,0.22859820744164,68.0,10.564090116995406,A13-twin,33e371f
1.5,21196000.0,True,1794.0,8.794117647058824,17456.0,28.0,True,-0.7267654726690884,0.18760073144245704,79.83333333333333,12.655697004379753,A13-twin,33e371f
1.5,21196200.0,True,1739.0,8.52450980392157,15250.0,15.0,True,-0.661847541404818,0.2178474389149446,74.16666666666667,6.823977334858804,A13-twin,33e371f
1.5,21196400.0,True,1781.0,8.730392156862745,18429.0,8.0,True,-0.9987389281828142,0.10029079450608527,77.33333333333333,14.48677557866714,A13-twin,33e371f
1.5,21196600.0,True,1743.0,8.544117647058824,16761.0,9.0,True,-0.898945624336944,0.12619855310820083,76.5,12.21065108829173,A13-twin,33e371f
1.5,21196800.0,True,1755.0,8.602941176470589,17369.0,16.0,True,-0.6837047488482176,0.20715491940515246,68.83333333333333,12.734467663262043,A13-twin,33e371f
1.5,21197000.0,True,1720.0,8.431372549019608,16055.0,8.0,True,-0.7901010811455733,0.16214326683259717,70.16666666666667,9.410986487434071,A13-twin,33e371f
1.5,21197200.0,True,1806.0,8.852941176470589,17825.0,5.0,True,-0.639604255759715,0.22929561224670175,75.66666666666667,13.140268896284683,A13-twin,33e371f
1.5,21197400.0,True,1741.0,8.534313725490197,15885.0,25.0,True,-0.6775460823250746,0.21011348090081175,75.16666666666667,9.495613022162743,A13-twin,33e371f
1.5,21197600.0,True,1725.0,8.455882352941176,15970.0,2.0,True,-0.9535525095362238,0.11128778291957933,76.0,17.158088471621774,A13-twin,33e371f
1.5,21197800.0,True,1714.0,8.401960784313726,16646.0,6.0,True,-0.8650692743759841,0.1364365489093258,68.33333333333333,20.126268075991305,A13-twin,33e371f
1.5,21198000.0,True,1746.0,8.558823529411764,16128.0,5.0,True,-0.7285595798074882,0.18682733557801517,77.33333333333333,5.988878581726855,A13-twin,33e371f
1.5,21198200.0,True,1755.0,8.602941176470589,16591.0,2.0,True,-0.8577489751450867,0.13875576138807721,77.16666666666667,10.609743949156675,A13-twin,33e371f
1.5,21198400.0,True,1742.0,8.53921568627451,18224.0,9.0,True,-0.7030463164653209,0.19813157119665503,71.16666666666667,13.526517166908365,A13-twin,33e371f
1.5,21198600.0,True,1727.0,8.465686274509803,15838.0,15.0,True,-0.9211715542802736,0.11990255725120372,72.5,15.69394787808345,A13-twin,33e371f
1.5,21198800.0,True,1699.0,8.32843137254902,14099.0,12.0,True,-0.7523628340962649,0.17686307270774604,65.16666666666667,7.026141662866374,A13-twin,33e371f
1.5,21199000.0,True,1739.0,8.52450980392157,16100.0,9.0,True,-0.9935542531767964,0.10149525681836896,79.33333333333333,10.856641592438551,A13-twin,33e371f
1.5,21199200.0,True,1711.0,8.387254901960784,16490.0,13.0,True,-0.661719889597148,0.21791148003868685,68.5,11.536897329871667,A13-twin,33e371f
1.5,21199400.0,True,1751.0,8.583333333333334,16311.0,19.0,True,-0.5783122835620892,0.2640509391228989,74.33333333333333,17.795130420052185,A13-twin,33e371f
1.5,21199600.0,True,1760.0,8.627450980392156,16674.0,23.0,True,-0.5939938258045627,0.2546866460135807,70.5,17.049926686059386,A13-twin,33e371f
1.5,21199800.0,True,1753.0,8.593137254901961,17390.0,12.0,True,-0.682100920476617,0.20792134675250307,76.83333333333333,8.635199283552561,A13-twin,33e371f
1.5,21200000.0,True,1781.0,8.730392156862745,17171.0,10.0,True,-0.5407408685285886,0.28791157908643095,69.5,9.85393322486001,A13-twin,33e371f
1.5,21200200.0,True,1776.0,8.705882352941176,15963.0,3.0,True,-0.8262929789254748,0.1491787696781819,80.66666666666667,6.592925501373929,A13-twin,33e371f
1.5,21200400.0,True,1758.0,8.617647058823529,15860.0,20.0,True,-0.710981125339297,0.19454446298057948,77.5,15.578831791889916,A13-twin,33e371f
1.5,21200600.0,True,1773.0,8.691176470588236,17663.0,4.0,True,-0.6468425253522746,0.22550567447416175,76.5,16.36765102267274,A13-twin,33e371f
1.5,21200800.0,True,1748.0,8.568627450980392,17321.0,24.0,True,-0.7311498943344619,0.1857163354818624,80.5,8.167006795638168,A13-twin,33e371f
1.5,21201000.0,True,1740.0,8.529411764705882,14564.0,6.0,True,-0.6557401180224931,0.22093263992655834,78.16666666666667,8.681397736923858,A13-twin,33e371f
1.5,21201200.0,True,1687.0,8.269607843137255,15879.0,15.0,True,-0.6412173413975811,0.2284455268332245,59.333333333333336,6.831300510639732,A13-twin,33e371f
1.5,21201400.0,True,1701.0,8.338235294117647,15506.0,53.0,True,-0.8007276247974366,0.15822400570356315,72.33333333333333,7.890923055426828,A13-twin,33e371f
1.5,21201600.0,True,1750.0,8.57843137254902,14784.0,15.0,True,-0.7417894705256216,0.181221837438035,75.0,14.477568856683085,A13-twin,33e371f
1.5,21201800.0,True,1724.0,8.450980392156863,16064.0,28.0,True,-0.7162268194156453,0.19220876160920106,76.16666666666667,11.68617416722285,A13-twin,33e371f
1.5,21202000.0,True,1659.0,8.132352941176471,14684.0,8.0,True,-0.9286254501598813,0.11786220177021967,74.83333333333333,12.155931336868708,A13-twin,33e371f
1.5,21202200.0,True,1730.0,8.480392156862745,15323.0,11.0,True,-0.7772911682338102,0.16699706244144175,67.5,3.6742346141747673,A13-twin,33e371f
1.5,21202400.0,True,1724.0,8.450980392156863,16193.0,13.0,True,-0.9556599366264626,0.11074906372447263,72.5,10.931605554537724,A13-twin,33e371f
1.5,21202600.0,True,1768.0,8.666666666666666,17712.0,20.0,True,-0.6835305537560881,0.20723802570662733,72.66666666666667,13.261473020244269,A13-twin,33e371f
1.5,21202800.0,True,1734.0,8.5,16165.0,16.0,True,-0.8636833379705863,0.13687264567894714,71.0,9.736529155710468,A13-twin,33e371f
1.5,21203000.0,True,1680.0,8.235294117647058,16410.0,1.0,True,-0.7728970678027801,0.16869528029361053,67.16666666666667,7.167054253085201,A13-twin,33e371f
1.5,21203200.0,True,1776.0,8.705882352941176,15815.0,2.0,True,-0.7492868748767559,0.17812017991221363,74.83333333333333,9.453394452082632,A13-twin,33e371f
1.5,21203400.0,True,1757.0,8.612745098039216,16965.0,11.0,True,-0.5821992807080504,0.26169819022928287,76.16666666666667,13.332916660156046,A13-twin,33e371f
1.5,21203600.0,True,1719.0,8.426470588235293,16709.0,8.0,True,-0.6457993997080403,0.22604796429538548,70.0,12.165525060596439,A13-twin,33e371f
1.5,21203800.0,True,1755.0,8.602941176470589,16957.0,9.0,True,-0.7169511934349844,0.1918884375214658,72.0,5.477225575051661,A13-twin,33e371f
1.5,21204000.0,True,1682.0,8.245098039215685,16398.0,4.0,True,-0.7714286943693305,0.16926661358752393,66.83333333333333,8.183316361150085,A13-twin,33e371f
1.5,21204200.0,True,1783.0,8.740196078431373,17628.0,13.0,True,-0.764285950832242,0.17207352248893448,85.66666666666667,12.878923350446135,A13-twin,33e371f
1.5,21204400.0,True,1726.0,8.46078431372549,17454.0,15.0,True,-0.7599526880971446,0.17379901545318072,69.66666666666667,5.819507424745385,A13-twin,33e371f
1.5,21204600.0,True,1712.0,8.392156862745098,14802.0,28.0,True,-0.6813715446521158,0.20827083362836118,75.5,11.058933040759403,A13-twin,33e371f
1.5,21204800.0,True,1768.0,8.666666666666666,17274.0,10.0,True,-0.8041407616532797,0.1569853907593464,72.5,13.910427743243556,A13-twin,33e371f
1.5,21205000.0,True,1733.0,8.495098039215685,15055.0,31.0,True,-0.5974132334418814,0.25268925009454296,69.33333333333333,9.647106647418523,A13-twin,33e371f
1.5,21205200.0,True,1737.0,8.514705882352942,16153.0,64.0,True,-0.879594338941782,0.1319488656707732,72.83333333333333,9.558591249063152,A13-twin,33e371f
1.5,21205400.0,True,1697.0,8.318627450980392,15842.0,8.0,True,-0.6846691327405937,0.2066954265263553,76.83333333333333,12.812754062521712,A13-twin,33e371f
1.5,21205600.0,True,1660.0,8.137254901960784,15897.0,5.0,True,-0.6222580948759907,0.23863926630705676,71.33333333333333,13.633292583476182,A13-twin,33e371f
1.5,21205800.0,True,1742.0,8.53921568627451,15793.0,6.0,True,-0.6969796395036364,0.20091870046546803,71.66666666666667,14.109098719148104,A13-twin,33e371f
1.5,21206000.0,True,1692.0,8.294117647058824,16550.0,14.0,True,-0.644697063345161,0.22662245328222197,66.66666666666667,11.111555546667022,A13-twin,33e371f
1.5,21206200.0,True,1773.0,8.691176470588236,16862.0,9.0,True,-0.6931095069734825,0.20271715055521317,75.16666666666667,10.796604404472113,A13-twin,33e371f
1.5,21206400.0,True,1830.0,8.970588235294118,17568.0,4.0,True,-0.704203140674336,0.19760451313912075,85.16666666666667,16.60622373288601,A13-twin,33e371f
1.5,21206600.0,True,1790.0,8.77450980392157,16146.0,26.0,True,-0.6133890215623742,0.2435628114259054,70.83333333333333,15.980196077228422,A13-twin,33e371f
