source,condition,seed,status,heldout,null_gap,truth_error,G,score_kind,code_version,epsilon
P1,dilution_analogue,301,ok,0.022,,0.12063324538258575,0.695778364116095,two_gate_analogue,f2a6c1d,0.15
P1,dilution_analogue,301,ok,0.027,,0.16889684964703403,0.3740210023531064,two_gate_analogue,f2a6c1d,0.3
P1,dilution_analogue,301,ok,0.035,,0.22765171503957785,0.0,two_gate_analogue,f2a6c1d,0.45
P1,dilution_analogue,301,ok,0.057,,0.29639830508474574,0.0,two_gate_analogue,f2a6c1d,0.6
P1,dilution_analogue,301,ok,0.197,,0.4066574790628644,0.0,two_gate_analogue,f2a6c1d,0.75
P1,dilution_analogue,301,ok,0.248,,0.4862326574172892,0.0,two_gate_analogue,f2a6c1d,0.9
P1,dilution_analogue,301,ok,0.183,,0.48929142248268515,0.0,two_gate_analogue,f2a6c1d,1.0
P1,dilution_analogue,302,ok,0.028,,0.09922138047138047,0.8385241301907969,two_gate_analogue,f2a6c1d,0.0
P1,dilution_analogue,302,ok,0.041,,0.11963383838383838,0.68,two_gate_analogue,f2a6c1d,0.15
P1,dilution_analogue,302,ok,0.023,,0.14414983164983164,0.5390011223344557,two_gate_analogue,f2a6c1d,0.3
P1,dilution_analogue,302,ok,0.044,,0.20517676767676768,0.13215488215488208,two_gate_analogue,f2a6c1d,0.45
P1,dilution_analogue,302,ok,0.107,,0.2674406332453826,0.0,two_gate_analogue,f2a6c1d,0.6
P1,dilution_analogue,302,ok,0.292,,0.5124158249158249,0.0,two_gate_analogue,f2a6c1d,0.75
P1,dilution_analogue,302,ok,0.284,,0.4851569126378287,0.0,two_gate_analogue,f2a6c1d,0.9
P1,dilution_analogue,302,ok,0.315,,0.5094299863028132,0.0,two_gate_analogue,f2a6c1d,1.0
P1,dilution_analogue,303,ok,0.024,,0.08889825152728038,0.9073449898181307,two_gate_analogue,f2a6c1d,0.0
P1,dilution_analogue,303,ok,0.02,,0.10469770381293449,0.8020153079137701,two_gate_analogue,f2a6c1d,0.15
