source,condition,reference_group,seed,R,n0,n1,n2,mm_dim,height,code_version,epsilon,label,status,heldout,truth,instrument_margin,achieved_density
P1,epsilon=0.45,p1_scene,315.0,623733.0,4203.0,6505.0,7766.0,1.8163610250214903,106.0,ba90aa8,0.45,,ok,0.015,0.19379926431949554,-0.29199509546330366,0.5737533460275409
P1,epsilon=0.6,p1_scene,315.0,641089.0,3568.0,5842.0,7649.0,1.7788591265793312,104.0,ba90aa8,0.6,,ok,0.124,0.31758751581611133,-1.4799999999999998,0.5897186117320234
P1,epsilon=0.75,p1_scene,315.0,626667.0,3447.0,5626.0,7432.0,1.8099618738743857,102.0,ba90aa8,0.75,,ok,0.202,0.42639214849583956,-3.0400000000000005,0.5764522449430141
P1,epsilon=0.9,p1_scene,315.0,617114.0,3692.0,5886.0,7521.0,1.830888703049772,99.0,ba90aa8,0.9,0.0,ok,0.276,0.5367778596232768,-4.5200000000000005,0.5676647257407255
P1,epsilon=1,p1_scene,315.0,628425.0,3905.0,6189.0,7821.0,1.8061393891165034,98.0,ba90aa8,1.0,0.0,ok,0.262,0.5047819232790332,-4.24,0.5780693766040235
P1,epsilon=0,p1_scene,316.0,621938.0,7295.0,6306.0,5965.0,1.8202881839941787,111.0,ba90aa8,0.0,1.0,ok,0.021,0.08504367961267235,0.4330421359155176,0.5721021791723009
P1,epsilon=0.15,p1_scene,316.0,636039.0,6112.0,7002.0,6968.0,1.789684399875421,110.0,ba90aa8,0.15,1.0,ok,0.009,0.1278812756551942,0.14745816229870534,0.5850732676546072
P1,epsilon=0.3,p1_scene,316.0,626839.0,5094.0,7179.0,7847.0,1.8095874999652093,109.0,ba90aa8,0.3,,ok,0.037,0.1455636248815914,0.029575834122723875,0.5766104626026805
P1,epsilon=0.45,p1_scene,316.0,609941.0,4156.0,6555.0,8096.0,1.8467781534493524,105.0,ba90aa8,0.45,,ok,0.016,0.18166508788548574,-0.21110058590323832,0.5610664974105656
P1,epsilon=0.6,p1_scene,316.0,623453.0,3549.0,5899.0,7837.0,1.8169730059102092,104.0,ba90aa8,0.6,,ok,0.156,0.35775181559835806,-2.1199999999999997,0.5734957823955258
P1,epsilon=0.75,p1_scene,316.0,609874.0,3391.0,5575.0,7360.0,1.8469272967894836,102.0,ba90aa8,0.75,,ok,0.185,0.461109356909799,-2.7,0.5610048661129049
