N,tick_count,repetition,source_protocol,target_protocol,source_beta,target_beta,expected_relative_beta,fitted_beta,fitted_beta_error,fitted_translation_t,fitted_translation_x,transition_rmse,accessible_overlap_count,accessible_overlap_fraction,invariant_pair_count,invariant_interval_rmse,invariant_interval_mae,invariant_interval_bias
600.0,64.0,3.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.2983,-0.0016999999999999793,-0.06868454557229865,0.06813947838607472,0.014765745573464517,178.0,0.2966666666666667,500.0,0.018532189834055652,0.012266969814455056,0.0009117533837381035
600.0,64.0,3.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.2526999999999999,-0.0026999999999999247,0.029179648809313025,-0.03321804409818984,0.013936701809459613,208.0,0.3466666666666667,500.0,0.020777549809647237,0.013816996044167654,0.0005590955020984224
600.0,64.0,3.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.5035,0.008127906976744259,0.06956941307561951,-0.06919238961549255,0.013733561982709943,112.0,0.18666666666666668,500.0,0.015308963181633082,0.009995867278922925,0.0025025365704974874
600.0,128.0,3.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.29925,-0.0007499999999999729,-0.06821759673356252,0.06877312074521433,0.008476810751096462,178.0,0.2966666666666667,500.0,0.012589179712433049,0.007977866825003569,0.0022760333231643276
600.0,128.0,3.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.2526999999999999,-0.0026999999999999247,0.03000974101572939,-0.033014947628043176,0.00682369971551021,208.0,0.3466666666666667,500.0,0.011140027995527676,0.006933816508480433,0.001647781534358866
600.0,128.0,3.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.5120499999999999,-0.00042209302325568743,0.06906816344878962,-0.07079093283479974,0.006211256733474134,112.0,0.18666666666666668,500.0,0.0059548627616422215,0.004114726418670867,0.00041391048615057
600.0,32.0,4.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.3002,0.00020000000000003348,-0.06979365706806769,0.07110931759780262,0.03257308796108568,188.0,0.31333333333333335,500.0,0.048969586613641196,0.032160134967825556,0.005434624212556249
600.0,32.0,4.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.2507999999999999,-0.0007999999999999119,0.028919821343460345,-0.03572014704566146,0.029657886291781434,210.0,0.35,500.0,0.04868791626499382,0.03005624133261164,0.00812624604391455
600.0,32.0,4.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.5091999999999999,0.0024279069767443318,0.06852797380796027,-0.07043692847404745,0.02826450690606315,114.0,0.19,500.0,0.02538803410328349,0.017089858212000195,-0.0007083808696456752
600.0,64.0,4.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.30495000000000005,0.0049500000000000655,-0.06842328735426478,0.07220838189107517,0.014544942995779735,188.0,0.31333333333333335,500.0,0.022449040451222115,0.014305347583802178,0.0035179493624686044
