target_index,t,x,inertial_accessible,rindler_accessible,rindler_wedge_accessible,rindler_finite_coverage_accessible
243.0,-0.8236945593268623,-0.12650458081725546,1.0,0.0,0.0,0.0
244.0,-0.8915164422521689,-0.22534827661648654,1.0,0.0,0.0,0.0
245.0,-0.5561142966865966,0.424149122151458,1.0,0.0,0.0,0.0
246.0,0.3076305724650483,1.0277414375272378,1.0,1.0,1.0,1.0
247.0,0.11128031244990932,0.8165869785191118,1.0,1.0,1.0,1.0
248.0,-0.5786032753092147,1.0611487688802665,1.0,1.0,1.0,1.0
249.0,0.5496839169527257,0.8648856100078177,1.0,1.0,1.0,1.0
250.0,0.7030697677898399,-0.46738263728596124,1.0,0.0,0.0,0.0
251.0,0.2331157919001372,1.3054733740636302,1.0,1.0,1.0,1.0
252.0,0.49561112775653715,-1.4544917430950002,1.0,0.0,0.0,0.0
253.0,0.367611132856442,-0.8887476308239453,1.0,0.0,0.0,0.0
254.0,-0.6387045704773344,-1.0890990120753676,1.0,0.0,0.0,0.0
255.0,-0.787195949343019,0.8455689544114723,1.0,0.0,1.0,0.0
256.0,0.18299551607714637,-1.7700199749133796,1.0,0.0,0.0,0.0
257.0,0.44936695600740295,-0.24259824254928655,1.0,0.0,0.0,0.0
258.0,0.44319375568723496,-0.6760369876311254,1.0,0.0,0.0,0.0
259.0,-0.46864796440858036,1.390265060841942,1.0,1.0,1.0,1.0
260.0,0.2630956288650208,-0.7322390088856091,1.0,0.0,0.0,0.0
261.0,1.9430785407856765,-0.032183480638284044,1.0,0.0,0.0,0.0
262.0,-0.28790192382419333,0.45187415713176954,1.0,1.0,1.0,1.0
263.0,-0.0679663462648028,-0.5764192013121116,1.0,0.0,0.0,0.0
264.0,-1.2691509693508882,-0.4275849071405661,1.0,0.0,0.0,0.0
265.0,0.41547863096301096,-0.39729719296049854,1.0,0.0,0.0,0.0
266.0,0.060641467610568434,0.14735580890955394,1.0,0.0,1.0,0.0
267.0,0.6093958627560845,0.8867338637304236,1.0,1.0,1.0,1.0
268.0,-1.0057692945310195,0.3505577245966493,1.0,0.0,0.0,0.0
269.0,-0.24120220013787463,0.6391007725296841,1.0,1.0,1.0,1.0
270.0,0.003751827953947018,0.6040100377020383,1.0,1.0,1.0,1.0
271.0,-1.2665750275794898,-0.04518809282178963,1.0,0.0,0.0,0.0
272.0,-0.8162926119623468,0.4683992821484109,1.0,0.0,0.0,0.0
273.0,0.29764307521126865,0.2432266700384567,1.0,0.0,0.0,0.0
274.0,-0.26443510260027425,-1.099623051040761,1.0,0.0,0.0,0.0
275.0,1.0487886874368786,-0.30347225026045377,1.0,0.0,0.0,0.0
276.0,-0.7034144967704958,-1.0926290597129067,1.0,0.0,0.0,0.0
277.0,-0.06194146756050678,0.9185667967206025,1.0,1.0,1.0,1.0
278.0,1.1041266097791222,-0.7243220553994602,1.0,0.0,0.0,0.0
279.0,-1.3908201486047442,-0.11684431311256062,1.0,0.0,0.0,0.0
280.0,-1.202784363572,-0.6253245623868767,1.0,0.0,0.0,0.0
281.0,0.04859647848360149,-0.3408319864014235,1.0,0.0,0.0,0.0
282.0,-1.221562609071062,0.010651892264943561,1.0,0.0,0.0,0.0
283.0,0.032256787025159994,-1.0392183226136942,1.0,0.0,0.0,0.0
284.0,0.37749841005103546,-0.6688442297007833,1.0,0.0,0.0,0.0
285.0,0.8895126957244948,0.24199319842808237,1.0,0.0,0.0,0.0
286.0,-1.4101101821385744,0.5594921326036275,1.0,0.0,0.0,0.0
287.0,0.9228239834336112,0.621393182521122,1.0,0.0,0.0,0.0
288.0,0.2727692571705065,-1.4787883112621039,1.0,0.0,0.0,0.0
